, tell
swellsall, as
swept, from
swerved, aside
swift, arrow
swill, too
swilled, food
swilling, our
swim, for
swimming, struggling
swimno, better
swindler, an
swine, this
swineherd, too
swineherds, here
swineherdwhy, drag
swinewith, grunts
swing, to
swinging, yourswed
swirl, of
swirled, it
swirling, down
swishing, their
swollen, brine
swooped, like
swooping, down
sword, enraged
swordbelt, off
swords, with
swore, to
sworn, friends
swung, aboard
sympathies, If
table, head
tables, washed
tack, a
tackle, They
tact, desert
tactful, Telemachus
tactic, known
tactician, Odysseus
tacticians, wits
tactics, said
tagged, along
tail, nuzzling
tails, eager
take, it
taken, his
takes, her
taking, the
tale, his
tales, to
talesuch, pain
talk, the
talked, on
talking, the
talks, to
tall, column
taller, stronger
tallest, men
tally, of
talons, plucked
tamped, the
tan, came
tangled, olive
tangling, sidebyside
tapped, him
targets, left
task, even
tasks, the
taste, for
tasteall, to
tasted, by
tasty, supper
tattered, slung
tatters, looking
taught, myself
taunt, the
taunted, Cock
taunting, Look
taunts, and
tauntsand, just
taut, and
tax, laid
taxing, courtship
teach, him
team, that
tear, my
tearing, through
tears, and
tearsI, forced
teased, each
technique, and
techniques, First
teem, with
teeming, vineyard
teems, with
teetered, set
teeth, Heres
tell, you
teller, of
telling, themselves
tells, you
tellshed, charm
telltale, laughter
temper, hardensthats
tempered, to
tempers, flaring
temple, to
temples, Ill
tempting, offer
tempts, us
ten, apple
tenant, farmer
tend, it
tended, Dolius
tender, loving
tending, And
tendons, through
tends, my
tense, to
tensing, zeal
tenth, year
terms, how
tern, and
terraced, city
terrain, through
terrible, fate
terribly, gossiping
terrific, yes
terrified, of
terrifiedoarblades, flew
terrifying, the
terror, So
terrora, dark
test, the
testing, Odysseus
tethered, all
than, half
thank, your
thanked, his
thanks, to
that, fell
thatnow, tell
thats, under
thaws, and
the, goddess
their, lives
theirs, we
them, off
themand, brought
themcringing, at
themlicking, their
themselves, the
themselvesthe, inspired
themthanks, to
then, brandish
thenI, willed
thenthe, wind
there, Athena
thered, be
theremen, like
theres, hope
thereyoull, plunge
these, things
thesewhat, a
they, went
theyd, harnessed
theyll, force
theyre, closing
theythey, infest
theyve, done
theyviolent, savage
thick, hyacinth
thicket, lair
thicketsflying, in
thickset, Around
thievery, that
thighbones, out
thighbonesofferings, charred
thighs, his
thighshis, boxers
thin, cries
thing, in
things, rest
think, its
thinkif, the
thinking, how
thinks, is
thinning, the
third, ashen
thirsting, for
thirteen, pear
thirteenth, day
this, point
thisI, must
thisand, Ill
thisbe, clearIve
thisbear, it
thisso, help
thistle, along
thong, from
thorns, and
those, suitors
though, hed
thought, of
thoughtful, way
thoughtfulness, and
thoughtfulof, all
thoughts, of
thousand, knives
thousands, Amphitrite
thrashed, things
thrashing, with
threading, her
threads, of
threat, shook
threatened, the
threats, Mentor
threatsand, Athena
three, men
threelegged, cauldron
threshold, stood
threw, his
thrilled, to
thrilling, song
thrive, like
thrived, on
thriving, vineyard
throat, and
throats, and
throbbed, to
throbbing, over
throne, to
throneat, just
throned, in
thrones, stood
thronged, with
thronging, the
throngs, of
throttling, the
through, down
throughout, the
throw, himself
throwing, spears
thrown, clear
throws, to
thrushes, beating
thrust, of
thrusting, up
thrusts, into
thud, his
thumbing, their
thumped, his
thunder, yes
thundercloud, whose
thundered, out
thunderhead, above
thunderheads, replied
thundering, Zeus
thwart, my
thwarts, lay
ticks, halfdead
tidal, breaker
tide, not
tidelike, that
tiderip, and
tides, of
tie, the
tied, up
ties, that
tight, 
tightarmed, to
tightly, none
till, all
tiller, seated
tilting, the
timber, they
timbered, lodge
timbers, reared
timbertheir, toeholds
time, and
timehonored, way
timely, invitation
times, his
timeshe, was
timestirred, by
tip, testing
tipped, the
tipping, over
tiptoe, lifting
tire, of
tired, of
tireless, one
tiresome, threats
tittering, linking
to, come
toasting, the
today, leave
toddler, scampering
toe, with
toed, the
toeholds, up
toes, could
together, the
togetherboth, hands
toil, you
toils, of
told, me
tomb, devoted
tomorrow, at
tomorrowall, of
tongs, he
tonguelashed, her
tongues, on
tonight, Still
too, gray
tooOdysseus, heart
tooand, laid
toofrom, a
took, each
toolike, father
tools, cut
tooth, from
tooweve, never
toowhether, hes
top, of
topped, it
topple, over
toppled, backward
toppling, into
torch, in
torches, set
torchlight, through
tore, his
torment, true
tormented, so
tormenting, us
torments, never
torn, 
tornwhat, should
torrent, River
torture, grappling
toss, your
tossed, from
tossing, bristling
total, Bring
totally, different
tottered, the
touch, you
touched, the
touching, food
tough, gear
toughest, strongest
tour, of
tow, for
toward, him
tower, of
towered, They
towering, all
towers, down
town, Theres
townful, look
towns, they
townsmen, friends
toys, to
trace, of
traces, hitched
tracker, too
tracks, staring
trade, some
traded, stories
trading, their
trail, of
trailed, after
trailing, you
trails, off
train, Ah
trained, in
traitor, Id
traitors, back
tramp, for
trampbe, glad
tramping, to
trample, down
trampled, earth
trampling, of
tramps, collect
transfix, him
transform, youno
transforming, himself
transgressors, Come
trap, ensnare
trapmy, day
trapped, in
travel, home
traveled, through
traveler, falls
travelers, too
traveling, jars
travels, with
tray, and
trays, Melanthius
treacherous, full
treachery, Nothing
tread, of
treasure, Odysseus
treasured, more
treasures, bronze
treasuresand, to
treasuretrove, Phaeacias
treat, you
treated, him
treatment, Youd
treats, a
tree, and
trees, and
treetops, rustling
trekking, over
treks, in
tremble, bedded
trembling, under
tremendous, throw
trench, one
trenchput, up
trial, still
trials, You
tribe, But
tribes, and
tribute, can
trick, you
trickery, luring
trickling, down
tricks, or
trident, in
tridentchurned, the
tried, to
trilling, and
trim, the
trimmed, them
trip, do
triple, drops
tripod, cauldron
tripods, cauldrons
triumph, now
triumphant, in
triumphed, over
triumphhere, was
triumphnot, yet
troop, in
trooped, the
trooper, countered
trooping, down
troops, of
trophies, the
trophy, But
trotted, on
trotting, at
trouble, himself
troubled, Whats
troublemaker, tempts
troubles, With
troublessoon, rejoicing
trough, where
troughing, swells
trove, had
troves, of
trudged, in
trudging, on
true, but
trueborn, sons
truebut, harm
trued, them
trueheres, the
truly, paid
trundled, the
trunk, to
trunksthe, work
trussed, in
trust, All
trusted, crew
trustiest, weapon
trusting, that
trusts, so
trusty, cowherd
truth, nowthis
truthIm, glad
truthhe, choked
try, to
trying, still
tub, and
tubs, they
tucked, them
tufts, from
tug, the
tugged, the
tugging, at
tumble, down
tumbled, doubled
tumblers, dashed
tumbling, in
tunes, Easy
tunic, too
tunics, on
turmoil, torn
turn, slipped
turned, to
turning, of
turns, it
tusk, on
tusker, five
tusks, and
twelve, axes
twentieth, day
twenty, years
twentyfour, from
twentytwo, wagons
twice, before
twigs, he
twin, sheaths
twinge, went
twining, the
twins, Castor
twist, it
twisted, cable
twisting, a
twists, and
twitching, lusting
two, herdsmen
twoeared, cup
twoedged, spears
twohandled, urn
tying, the
types, in
udders, about
ugly, uproar
ultimatum, to
unappeased, forever
unaware, of
unbearable, here
unbending, Holding
unbridled, rage
unbroken, days
unburied, dont
unburiedthis, other
uncallused, hands
uncertain, terms
uncontrollable, laughter
uncontrollably, as
under, the
underneath, each
understanding, man
underworld, to
undid, methat
undisguised, She
undisturbed, while
undone, whatever
undying, glory
unearthly, cry
unendurable, song
unfair, action
unfamiliar, country
unforgettable, grief
unfortunate, guest
ungodly, uproar
ungracious, to
unguent, first
unharmed, And
unhinged, you
unhitch, their
unhitched, my
unholy, to
united, Achaea
units, died
unleashed, its
unless, he
unlined, and
unluckiest, man
unlucky, man
unman, me
unmarked, by
unmilked, their
unmistakable, clear
unmistakableshe, outshines
unmixed, inside
unmixedand, such
unmoored, whenever
unmoved, never
unplowed, unsown
unprotected, crowds
unprotectedcrowds, in
unravel, all
unrecognized, by
unripe, grapes
unrivaled, lords
unscarred, I
unscathed, In
unseemly, shirt
unseen, by
unshaken, Even
unsown, foreverempty
unsplit, he
unstaggered, by
unstinting, with
unstrung, some
unsung, future
unswerving, wife
untended, even
untie, it
until, he
untouched, by
untrained, for
unwavering, never
unwed, youths
unwept, unburied
unwieldy, shackles
unwilling, lover
unyoking, oxen
up, Disgrace
upbraiding, each
upcountry, now
uphill, toward
upholds, justice
upland, farm
uplike, a
upon, me
upper, story
upright, rule
uproar, all
upset, my
upso, the
upstairs, and
upstanding, son
upstarts, not
upthe, common
upward, both
urge, Odysseus
urged, and
urgent, call
urges, I
urging, him
urn, a
us, To
usblind, in
use, they
used, on
useless, Mentor
usethe, great
ushered, them
ushers, him
usor, could
uttered, in
vagabond, like
vagabonds, to
vagrant, just
vagrants, mind
valiant, seer
value, bronze
vanished, swallowed
vanishedblotted, outnot
vast, proud
vats, dry
vault, I
vaulted, onto
vaulting, onto
vaults, But
vaunt, and
vaunted, and
ve, got
veer, and
veered, for
veering, over
vegetable, lacks
veil, across
veils, to
veins, now
vengeance, never
vengeanceall, of
venture, If
ventured, Fighting
ventures, into
verdicts, reached
very, one
vessel, up
vessels, how
veteran, said
veterans, all
vexed, with
vibrant, music
vicious, crimes
victims, never
victors, just
victory, not
vie, with
vied, at
view, 
viewed, them
vigilance, guarding
vine, not
vinerows, bearing
vines, would
vineyard, up
vineyards, steep
vintage, wine
violence, cold
violent, brutes
violet, wool
violets, lush
vipers, back
virgin, belt
virtue, will
virtuoso, ease
visible, to
vision, real
visit, your
visited, Aeolus
visiting, Ilus
visitor, flinging
visitors, claim
visits, much
visitsvisitor, that
vivid, in
voice, They
voiced, by
voices, throbbing
voicetovoice, in
volleyed, back
volunteer, it
volunteered, he
volunteers, Lots
vomit, my
vomited, blind
vomits, it
vortex, right
vow, again
vowed, to
vowing, she
vows, and
voyage, crossing
voyaged, down
voyagedrifting, into
voyaging, years
vultures, with
vying, over
waded, in
waft, our
wafted, from
wager, to
wages, picking
wagon, stepping
wagons, used
wail, as
wailed, out
wailedonly, a
wailing, heartsickdressed
wails, and
waist, down
waistguard, 
waistit, is
wait, let
waita, better
waited, there
waiting, poised
waitingwomen, spinning
waits, Sit
waittheyll, grind
wake, He
wakes, us
waking, truth
walk, through
walked, up
walking, the
walks, through
wall, to
walled, around
wallow, with
walls, of
wallsgold, brocades
wand, of
wander, across
wandered, off
wanderer, landing
wanderers, end
wandering, far
wanderingendless, hardship
wanderings, after
wanders, the
waned, and
want, to
wanted, If
wants, or
war, Break
warcar, took
warcries, now
warcry, Menelaus
ward, off
warlord, fell
warm, and
warmed, him
warmer, way
warming, his
warmly, grasped
warms, the
warmth, of
warn, them
warned, and
warning, nod
warnings, winging
warns, we
warring, winds
warrior, Halitherses
wars, Add
warship, down
warships, hard
warthe, sea
wary, Penelope
was, not
wasTheoclymenus, his
wascomradeinarms, to
wash, our
washed, it
washes, gold
washing, feet
washingpools, are
wasnt, the
waste, of
wastes, of
wasting, your
watch, father
watched, 
watchful, Athena
watching, his
watchman, saw
water, and
wateradded, a
waterher, basin
watermeadows, along
waters, off
wave, of
waved, them
wavering, heart
waves, and
wavesone, of
wavewashed, Dias
waving, Then
wax, Id
way, and
waylaid, her
waylay, him
wayor, so
ways, appalled
waysAthena, setting
waysensible, as
wayso, he
wayward, drifting
wayworn, guest
we, dont
weak, Clearly
weaker, man
weakling, a
weakness, A
weakwilled, boy
wealth, come
wealthif, you
wealthy, mans
weapon, all
weapons, slipped
wear, such
weariness, has
wearing, a
weary, bones
weatherbeaten, clad
weathered, many
weave, at
weaves, a
weaving, wont
web, So
webs, from
wed, meet
wedded, wife
wedding, here
weddingfeast, thats
wedged, Then
wedlock, sprung
weds, Theres
weep, recognizing
weeping, softly
weeps, through
weigh, them
weighed, down
weighing, the
weight, across
weighted, brazen
weighty, by
welcome, treated
welcomed, him
welcomes, to
welcoming, in
welfare, now
well, hang
wellaware, explained
wellbred, sons
wellbuilt, man
wellcoifed, queens
wellconstructed, hall
wellcurved, scythe
wellcut, cloak
welldecked, ships
welled, up
wellfed, goat
wellforged, helmet
wellgroomed, ladies
wellhell, never
wellhoned, sword
wellhung, doors
wellkept, here
welllit, room
wellmade, room
wellon, the
wellplaned, oar
wellreceived, Id
wellribbed, holds
wellrigged, ship
wells, then
wellseasoned, just
wellshared, and
wellspoken, too
wellspring, flows
wellstitched, leather
wellteeming, with
welltended, farm
wellworked, plot
wellwrought, gold
went, limp
wept, Debating
weptand, the
were, but
west, a
western, edge
wet, down
weve, excelled
what, I
whatever, words
whatevers, right
whats, the
wheat, and
wheatI, love
wheatlands, straining
wheel, with
wheeled, on
wheeling, into
wheels, around
when, old
whenever, Hermes
where, champions
wherever, his
whether, hes
whetted, shafts
whey, to
which, no
while, the
whimpered, cringing
whip, an
whiplash, cracking
whipped, from
whipping, the
whips, you
whirl, and
whirled, away
whirling, dust
whirlpool, gulped
whirlwind, pluck
whirlwinds, swept
whirred, onand
whisked, him
whisks, up
whisper, he
whispered, Good
whistlesturning, his
whistling, wind
white, At
whitearmed, Helen
whitecaps, handsome
whitehot, blazing
whiter, than
whitetusked, boars
who, rules
whod, give
whoever, heard
whole, tale
wholl, lift
whom, now
whomever, her
whoops, of
whore, she
whored, in
whores, With
whorls, of
whos, killed
whose, shield
whosome, shipwrecked
whove, shamed
why, do
wicked, spirit
wicker, trays
wide, one
wideeyed, at
widemy, noble
wideranging, sea
widespread, fame
wield, as
wields, to
wife, of
wifenever, indulge
wifes, side
wifeshe, never
wild, to
wildest, kind
wildfire, through
wildly, beat
wildlyhow, to
wildness, here
wilds, years
wiles, and
will, draw
willed, it
willing, we
willingly, roam
willothewisps, their
willows, whose
willowtwigs, the
willsing, for
wily, master
win, their
wind, blew
windbreak, but
winding, finespun
winds, and
windstorm, blasting
windswept, crags
windswift, team
windy, folds
wine, Before
wineand, slaughter
winebowl, well
winebowls, burnished
winecup, first
winecups, flowing
winedark, waters
winejars, twelve
winesteward, clipping
wineto, top
wing, it
winged, it
winging, words
wings, that
wingssurely, one
wingtip, pinions
wink, all
winning, strategy
winnow, grain
wins, we
winter, brought
wipe, out
wiped, from
wiping, off
wisdom, Hear
wisdomthey, will
wise, old
wiseher, death
wiser, man
wisest, man
wish, him
wishes, on
wishesfather, mother
wisp, Then
wit, to
witchs, subtle
with, fear
withdrawing, into
withdrew, to
withered, limbs
withering, Furies
withhold, it
within, earshot
without, the
withstood, my
witness, now
witnessed, funeral
wits, My
wives, both
wizard, began
wizards, tricks
woke, touched
wolf, our
wolfed, his
wolves, or
woman, too
womanIm, amazed
womanat, long
womankind, even
womanlets, call
womanpeace, No
womans, build
womanwe, called
womb, than
women, perfect
womens, heads
womenvirgin, Artemis
won, them
wonder, Weve
wonderful, I
wondering, all
wonderstruck, facetoface
wonderstruckyou, drank
wont, disgrace
wood, providing
wooded, glen
wooden, bowl
woods, lifting
woody, ridges
wooed, and
wool, and
woola, marvelous
woolen, cape
woolens, dripping
woolly, fifty
word, Follow
words, Dear
wordsI, will
wordsits, just
wordso, help
wore, a
work, they
worked, as
worker, in
working, briskly
workmates, in
workparalyzed, appalled
works, who
world, So
worldclass, boxers
worldly, goods
worldlywise, so
worlds, end
worldtheres, nothing
worms, had
worn, out
wornout, traveler
worried, enough
worries, now
worry, less
worse, Polybus
worst, Please
worth, giggling
worthless, stranger
worthy, mother
would, have
wouldnt, listen
wound, I
wounded, pride
wounds, of
wove, the
woven, Queenly
wraith, that
wraiths, of
wrangle, broke
wrangling, no
wrap, his
wrapped, in
wrapper, you
wrath, of
wrathbefore, they
wrathful, eyes
wrathin, their
wreck, my
wrecked, his
wrecks, all
wrench, Melanthius
wrenched, his
wrenching, his
wrest, away
wrested, from
wrestled, him
wrestlers, I
wrestling, racing
wretched, death
wring, my
wrings, my
wrinkled, hide
wrist, and
writhed, All
writhes, and
writhing, with
wrong, hes
wronged, the
wrought, iron
wrung, his
wry, soldier
yanking, their
yard, to
yards, And
yarn, But
yarns, endless
yaw, over
yawning, cave
year, on
yearling, pig
yearn, for
yearned, for
yearning, now
yearround, at
years, to
yearsbut, failed
yearsnonstop, no
yelping, no
yes, but
yesterday, here
yet, the
yetsome, sudden
yield, to
yields, the
yoke, the
yoked, their
you, men
youI, know
youIll, sheathe
youNever, All
youand, I
youd, all
youdraw, your
youif, ever
youimmortal, gods
youll, see
youmy, old
youmyself, Who
young, in
younger, than
youngerborn, my
youngest, one
youngster, How
youngsters, prove
youno, one
your, long
youre, home
yours, my
yourself, Odysseus
yourselves, No
yourswed, test
youso, help
youtell, me
youth, to
youths, and
youve, reached
youweigh, it
youwould, have
youyou, make
zeal, with
zealous, aidesinarms
zest, of
